Date,Value,Anomaly
201002,24.1,3.4
201003,38.2,7.6
201004,49.2,6.4
201005,58.6,4.1
201006,65.1,1.7
201007,71.4,3.2
201008,68.2,2.2
201009,60.9,2.0
201010,48.5,0.5
201011,37.9,1.6
201012,23.1,-1.4
201101,18.6,-1.2
201102,21.8,1.1
201103,30.9,0.3
201104,45.0,2.2
201105,58.0,3.5
201106,65.1,1.7
201107,71.4,3.2
201108,67.6,1.6
201109,62.6,3.7
201110,49.6,1.6
201111,43.1,6.8
201112,31.8,7.3
201201,26.0,6.2
201202,29.9,9.2
201203,43.3,12.7
201204,43.9,1.1
201205,60.5,6.0
201206,64.6,1.2
201207,71.4,3.2
201208,68.4,2.4
201209,59.9,1.0
201210,50.9,2.9
201211,35.7,-0.6
201212,31.6,7.1
201301,24.3,4.5
201302,23.3,2.6
201303,30.6,0.0
201304,43.4,0.6
201305,57.2,2.7
201306,64.0,0.6
201307,71.2,3.0
201308,65.8,-0.2
201309,58.3,-0.6
201310,50.8,2.8
201311,34.4,-1.9
201312,25.4,0.9
201401,16.9,-2.9
201402,18.8,-1.9
201403,23.6,-7.0
201404,43.5,0.7
201405,56.7,2.2
201406,65.0,1.6
201407,67.4,-0.8
201408,65.3,-0.7
201409,60.1,1.2
201410,51.3,3.3
201411,35.3,-1.0
201412,30.2,5.7
201501,16.2,-3.6
201502,9.2,-11.5
201503,25.5,-5.1
201504,43.3,0.5
201505,61.0,6.5
201506,63.0,-0.4
201507,68.1,-0.1
201508,67.5,1.5
201509,65.0,6.1
201510,47.4,-0.6
201511,42.8,6.5
201512,39.3,14.8
201601,23.7,3.9
201602,26.7,6.0
201603,37.7,7.1
201604,41.3,-1.5
201605,55.7,1.2
201606,64.1,0.7
201607,70.4,2.2
201608,70.9,4.9
201609,62.9,4.0
201610,50.5,2.5
201611,40.2,3.9
201612,27.6,3.1
201701,27.9,8.1
201702,30.6,9.9
201703,28.2,-2.4
201704,48.8,6.0
201705,54.0,-0.5
201706,63.9,0.5
201707,68.1,-0.1
201708,65.6,-0.4
201709,62.3,3.4
201710,54.8,6.8
201711,36.2,-0.1
201712,22.6,-1.9
201801,19.1,-0.7
201802,29.4,8.7
201803,29.9,-0.7
201804,37.8,-5.0
201805,60.0,5.5
201806,63.4,0.0
201807,71.2,3.0
201808,70.4,4.4
201809,63.6,4.7
201810,47.7,-0.3
201811,33.3,-3.0
201812,28.5,4.0
201901,19.4,-0.4
201902,24.2,3.5
201903,29.5,-1.1
201904,44.5,1.7
201905,54.2,-0.3
201906,63.0,-0.4
201907,71.0,2.8
201908,66.6,0.6
201909,60.3,1.4
201910,50.3,2.3
201911,32.8,-3.5
201912,27.3,2.8
202001,27.7,7.9
